"","OTU.1","OTU.2","OTU.3","OTU.4","OTU.6","OTU.8","OTU.10","OTU.11","OTU.12","OTU.16","OTU.17","OTU.18","OTU.25","OTU.39","OTU.41","OTU.31","OTU.48","OTU.49","OTU.65","OTU.73","OTU.59","OTU.81","OTU.110","OTU.64","OTU.62","OTU.88","OTU.91","OTU.105","OTU.21","OTU.124","OTU.87","OTU.114","OTU.44","OTU.37","OTU.89","OTU.119","OTU.190","OTU.141","OTU.155","OTU.161","OTU.35","OTU.133","OTU.100","OTU.198","OTU.125","OTU.199","OTU.160","OTU.367","OTU.66","OTU.201","OTU.28","OTU.238","OTU.194","OTU.193","OTU.376","OTU.159","OTU.262","OTU.230","OTU.96","OTU.29","OTU.209","OTU.72","OTU.227","OTU.168","OTU.315","OTU.336","OTU.214","OTU.351","OTU.173","OTU.333","OTU.140","OTU.307","OTU.370","OTU.360","OTU.169","OTU.353","OTU.416","OTU.404","OTU.428","OTU.177","OTU.443","OTU.278","OTU.189","OTU.448","OTU.335","OTU.458","OTU.237","OTU.552","OTU.13","OTU.480","OTU.265","OTU.486","OTU.374","OTU.447","OTU.493","OTU.497","OTU.500","OTU.515","OTU.459","OTU.483","OTU.294","OTU.415","OTU.78","OTU.179","OTU.576","OTU.271","OTU.561","OTU.592","OTU.454","OTU.556","OTU.276","OTU.509","OTU.636","OTU.488","OTU.236","OTU.677","OTU.688","OTU.482","OTU.647","OTU.680","OTU.725","OTU.248","OTU.470","OTU.738","OTU.691","OTU.635","OTU.767","OTU.553","OTU.484","OTU.780","OTU.891","OTU.24","OTU.461","OTU.256","OTU.710","OTU.830","OTU.658","OTU.554","OTU.33","OTU.427","OTU.905","OTU.866","OTU.70","OTU.675","OTU.884","OTU.450","OTU.490","OTU.84","OTU.138","OTU.777","OTU.817","OTU.354","OTU.310","OTU.952","OTU.103","OTU.1078","OTU.614","OTU.1084","OTU.243","OTU.1107","OTU.978","OTU.196","OTU.642","OTU.1149","OTU.1168","OTU.1166","OTU.1110","OTU.1194","OTU.494","OTU.838","OTU.1218","OTU.1220","OTU.1150","OTU.1219","OTU.1198","OTU.1271","OTU.597","OTU.1284","OTU.455","OTU.207","OTU.433","OTU.1447","OTU.1455","OTU.1456","OTU.1467","OTU.1468","OTU.1487","OTU.1521","OTU.392","OTU.442","OTU.1614","OTU.1609","OTU.654","OTU.1626","OTU.1640","OTU.1692","OTU.1683","OTU.1680","OTU.1801","OTU.1825","OTU.1167","OTU.1893","OTU.372","OTU.388","OTU.540","OTU.2196","OTU.2199","OTU.163","OTU.363","OTU.755","OTU.519","OTU.2493","OTU.314","OTU.19","OTU.719","OTU.637","OTU.260","OTU.768"
"P01_01_A",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P01_01_B",1605,3474,1549,0,0,805,519,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P01_01_C",39,6184,1449,0,0,10003,1445,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P01_01_D",26518,2340,1001,0,0,5470,785,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P01_01_E",86,4249,391,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,7,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P01_01_F",139854,4869,1147,0,0,1806,0,92,0,61,0,19,0,0,0,0,0,0,0,0,0,0,0,12,907,22,180,0,0,0,0,0,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P01_01_G",71570,1969,492,0,0,4941,21,1295,0,6,0,0,0,0,0,0,0,0,16,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P01_01_H",8,4079,415,0,0,5240,0,2502,0,0,0,0,0,0,0,0,0,0,0,0,1336,0,0,270,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,139,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P01_02_A",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,19,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,1010,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P01_02_B",11577,1826,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
