"","id","height","age","tree","closure"
"P01_01_A","P01_01_A",24,"A1","BIRD348",20.1992489167068
"P01_01_B","P01_01_B",24,"A2","BIRD348",20.1992489167068
"P01_01_C","P01_01_C",24,"A3","BIRD348",20.1992489167068
"P01_01_D","P01_01_D",24,"A4","BIRD348",20.1992489167068
"P01_01_E","P01_01_E",31.5,"A1","BIRD348",17.8666369764083
"P01_01_F","P01_01_F",31.5,"A2","BIRD348",17.8666369764083
"P01_01_G","P01_01_G",31.5,"A3","BIRD348",17.8666369764083
"P01_01_H","P01_01_H",31.5,"A4","BIRD348",17.8666369764083
"P01_02_A","P01_02_A",36.5,"A1","BIRD348",15.3751733269138
"P01_02_B","P01_02_B",36.5,"A2","BIRD348",15.3751733269138
"P01_02_C","P01_02_C",36.5,"A3","BIRD348",15.3751733269138
"P01_02_D","P01_02_D",36.5,"A4","BIRD348",15.3751733269138
"P01_02_E","P01_02_E",39.24,"A1","BIRD348",13.9873110255176
"P01_02_F","P01_02_F",39.24,"A2","BIRD348",13.9873110255176
"P01_02_G","P01_02_G",39.24,"A3","BIRD348",13.9873110255176
"P01_02_H","P01_02_H",39.24,"A4","BIRD348",13.9873110255176
"P01_03_A","P01_03_A",41.53,"A1","BIRD348",12.7917428984112
"P01_03_B","P01_03_B",41.53,"A2","BIRD348",12.7917428984112
"P01_03_C","P01_03_C",41.53,"A3","BIRD348",12.7917428984112
"P01_03_D","P01_03_D",41.53,"A4","BIRD348",12.7917428984112
"P01_03_E","P01_03_E",44.12,"A1","BIRD348",10.7768343765046
"P01_03_F","P01_03_F",44.12,"A2","BIRD348",10.7768343765046
"P01_03_G","P01_03_G",44.12,"A3","BIRD348",10.7768343765046
"P01_03_H","P01_03_H",44.12,"A4","BIRD348",10.7768343765046
"P01_04_A","P01_04_A",46.56,"A1","BIRD348",9.17995666827155
"P01_04_B","P01_04_B",46.56,"A2","BIRD348",9.17995666827155
"P01_04_C","P01_04_C",46.56,"A3","BIRD348",9.17995666827155
"P01_04_D","P01_04_D",46.56,"A4","BIRD348",9.17995666827155
"P01_04_E","P01_04_E",11.7,"A1","PC17",27.1779530993065
"P01_04_F","P01_04_F",11.7,"A2","PC17",27.1779530993065
"P01_04_G","P01_04_G",11.7,"A3","PC17",27.1779530993065
"P01_04_H","P01_04_H",11.7,"A4","PC17",27.1779530993065
"P01_05_A","P01_05_A",14.2,"A1","PC17",26.6832408665189
"P01_05_B","P01_05_B",14.2,"A2","PC17",26.6832408665189
"P01_05_C","P01_05_C",14.2,"A3","PC17",26.6832408665189
"P01_05_D","P01_05_D",14.2,"A4","PC17",26.6832408665189
"P01_05_E","P01_05_E",19.2,"A1","PC17",25.3816193608351
"P01_05_F","P01_05_F",19.2,"A2","PC17",25.3816193608351
"P01_05_G","P01_05_G",19.2,"A3","PC17",25.3816193608351
"P01_05_H","P01_05_H",19.2,"A4","PC17",25.3816193608351
"P01_06_A","P01_06_A",21.7,"A1","PC17",24.2384978908987
"P01_06_C","P01_06_C",21.7,"A3","PC17",24.2384978908987
"P01_06_D","P01_06_D",21.7,"A4","PC17",24.2384978908987
"P01_06_E","P01_06_E",24.2,"A1","PC17",22.8119975691714
"P01_06_F","P01_06_F",24.2,"A2","PC17",22.8119975691714
"P01_06_G","P01_06_G",24.2,"A3","PC17",22.8119975691714
"P01_06_H","P01_06_H",24.2,"A4","PC17",22.8119975691714
"P01_07_A","P01_07_A",26.7,"A1","PC17",21.3903002788303
"P01_07_B","P01_07_B",26.7,"A2","PC17",21.3903002788303
"P01_07_C","P01_07_C",26.7,"A3","PC17",21.3903002788303
"P01_07_D","P01_07_D",26.7,"A4","PC17",21.3903002788303
"P01_07_E","P01_07_E",29.2,"A1","PC17",20.3096182169157
"P01_07_F","P01_07_F",29.2,"A2","PC17",20.3096182169157
"P01_07_G","P01_07_G",29.2,"A3","PC17",20.3096182169157
"P01_07_H","P01_07_H",29.2,"A4","PC17",20.3096182169157
"P01_08_A","P01_08_A",31.7,"A1","PC17",18.3403753485379
"P01_08_B","P01_08_B",31.7,"A2","PC17",18.3403753485379
"P01_08_C","P01_08_C",31.7,"A3","PC17",18.3403753485379
"P01_08_D","P01_08_D",31.7,"A4","PC17",18.3403753485379
"P01_08_E","P01_08_E",34.2,"A1","PC17",15.4081246872096
"P01_08_F","P01_08_F",34.2,"A2","PC17",15.4081246872096
"P01_08_G","P01_08_G",34.2,"A3","PC17",15.4081246872096
"P01_08_H","P01_08_H",34.2,"A4","PC17",15.4081246872096
"P01_09_A","P01_09_A",36.7,"A1","PC17",12.3485936941446
"P01_09_B","P01_09_B",36.7,"A2","PC17",12.3485936941446
"P01_09_C","P01_09_C",36.7,"A3","PC17",12.3485936941446
"P01_09_D","P01_09_D",36.7,"A4","PC17",12.3485936941446
"P01_09_E","P01_09_E",30,"A1","PC02",25.5356614017769
"P01_09_F","P01_09_F",30,"A2","PC02",25.5356614017769
"P01_09_G","P01_09_G",30,"A3","PC02",25.5356614017769
"P01_09_H","P01_09_H",30,"A4","PC02",25.5356614017769
"P01_10_A","P01_10_A",33.5,"A1","PC02",23.5440769990128
"P01_10_B","P01_10_B",33.5,"A2","PC02",23.5440769990128
"P01_10_C","P01_10_C",33.5,"A3","PC02",23.5440769990128
"P01_10_D","P01_10_D",33.5,"A4","PC02",23.5440769990128
"P01_11_E","P01_11_E",41,"A1","PC02",17.2636846001974
"P01_11_F","P01_11_F",41,"A2","PC02",17.2636846001974
"P01_11_G","P01_11_G",41,"A3","PC02",17.2636846001974
"P01_11_H","P01_11_H",41,"A4","PC02",17.2636846001974
"P01_12_A","P01_12_A",42.4,"A1","PC02",15.8242226061204
"P01_12_B","P01_12_B",42.4,"A2","PC02",15.8242226061204
"P01_12_C","P01_12_C",42.4,"A3","PC02",15.8242226061204
"P01_12_D","P01_12_D",42.4,"A4","PC02",15.8242226061204
"P01_12_E","P01_12_E",45,"A1","PC02",13.5861549851925
"P01_12_F","P01_12_F",45,"A2","PC02",13.5861549851925
"P01_12_G","P01_12_G",45,"A3","PC02",13.5861549851925
"P01_12_H","P01_12_H",45,"A4","PC02",13.5861549851925
"P02_01_A","P02_01_A",46,"A1","PC02",12.8861426456071
"P02_01_B","P02_01_B",46,"A2","PC02",12.8861426456071
"P02_01_C","P02_01_C",46,"A3","PC02",12.8861426456071
"P02_01_D","P02_01_D",46,"A4","PC02",12.8861426456071
"P02_02_A","P02_02_A",50.5,"A1","PC02",9.19875370187562
"P02_02_B","P02_02_B",50.5,"A2","PC02",9.19875370187562
"P02_02_C","P02_02_C",50.5,"A3","PC02",9.19875370187562
"P02_02_D","P02_02_D",50.5,"A4","PC02",9.19875370187562
"P02_02_E","P02_02_E",17.5,"A1","PC12",32.8809124278972
"P02_02_F","P02_02_F",17.5,"A2","PC12",32.8809124278972
"P02_02_G","P02_02_G",17.5,"A3","PC12",32.8809124278972
"P02_02_H","P02_02_H",17.5,"A4","PC12",32.8809124278972
"P02_03_A","P02_03_A",22.5,"A1","PC12",30.6909674882014
"P02_03_B","P02_03_B",22.5,"A2","PC12",30.6909674882014
"P02_03_C","P02_03_C",22.5,"A3","PC12",30.6909674882014
"P02_03_D","P02_03_D",22.5,"A4","PC12",30.6909674882014
"P02_03_E","P02_03_E",25,"A1","PC12",29.685920293655
"P02_03_F","P02_03_F",25,"A2","PC12",29.685920293655
"P02_03_G","P02_03_G",25,"A3","PC12",29.685920293655
"P02_03_H","P02_03_H",25,"A4","PC12",29.685920293655
"P02_04_E","P02_04_E",32.5,"A1","PC12",24.9040115364447
"P02_04_F","P02_04_F",32.5,"A2","PC12",24.9040115364447
"P02_04_G","P02_04_G",32.5,"A3","PC12",24.9040115364447
"P02_04_H","P02_04_H",32.5,"A4","PC12",24.9040115364447
"P02_05_A","P02_05_A",35,"A1","PC12",23.6662165705296
"P02_05_B","P02_05_B",35,"A2","PC12",23.6662165705296
"P02_05_C","P02_05_C",35,"A3","PC12",23.6662165705296
"P02_05_D","P02_05_D",35,"A4","PC12",23.6662165705296
"P02_06_A","P02_06_A",40,"A1","PC12",19.8787755637126
"P02_06_B","P02_06_B",40,"A2","PC12",19.8787755637126
"P02_06_C","P02_06_C",40,"A3","PC12",19.8787755637126
"P02_06_D","P02_06_D",40,"A4","PC12",19.8787755637126
"P02_06_E","P02_06_E",42.5,"A1","PC12",18.0062139486104
"P02_06_F","P02_06_F",42.5,"A2","PC12",18.0062139486104
"P02_06_G","P02_06_G",42.5,"A3","PC12",18.0062139486104
"P02_06_H","P02_06_H",42.5,"A4","PC12",18.0062139486104
"P02_07_A","P02_07_A",45,"A1","PC12",15.5412034609334
"P02_07_B","P02_07_B",45,"A2","PC12",15.5412034609334
"P02_07_C","P02_07_C",45,"A3","PC12",15.5412034609334
"P02_07_D","P02_07_D",45,"A4","PC12",15.5412034609334
"P02_07_E","P02_07_E",47.5,"A1","PC12",13.0550340849502
