"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Genus_species"
"OTU.1","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Nothophaeocryptopus","gaeumannii","Nothophaeocryptopus gaeumannii"
"OTU.2","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hemiphacidiaceae","Rhabdocline","parkeri","Rhabdocline parkeri"
"OTU.3","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hemiphacidiaceae","Rhabdocline","parkeri","Rhabdocline parkeri"
"OTU.4","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hemiphacidiaceae","Rhabdocline","pseudotsugae","Rhabdocline pseudotsugae"
"OTU.6","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hemiphacidiaceae","Rhabdocline","parkeri","Rhabdocline parkeri"
"OTU.8","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta","abietis","Phyllosticta abietis"
"OTU.10","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae",NA,NA,"Dermateaceae sp."
"OTU.11","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Euantennariaceae","Rasutoria","pseudotsugae","Rasutoria pseudotsugae"
"OTU.12","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","macrosporum","Hormonema macrosporum"
"OTU.16","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,"Dothideomycetes sp."
"OTU.17","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae",NA,NA,"Phaeomoniellaceae sp."
"OTU.18","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Micraspis","strobilina","Micraspis strobilina"
"OTU.25","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA,"Sporidiobolales sp."
"OTU.39","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Nothophaeocryptopus","gaeumannii","Nothophaeocryptopus gaeumannii"
"OTU.41","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Micraspis","strobilina","Micraspis strobilina"
"OTU.31","Fungi",NA,NA,NA,NA,NA,NA,"Fungi sp."
"OTU.48","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Dermea",NA,"Dermea sp."
"OTU.49","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Micraspis","strobilina","Micraspis strobilina"
"OTU.65","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","expansum","Penicillium expansum"
"OTU.73","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae",NA,NA,"Phaeomoniellaceae sp."
"OTU.59","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae",NA,NA,"Sympoventuriaceae sp."
"OTU.81","Fungi","Ascomycota","Leotiomycetes","Helotiales","Tympanidaceae","Capturomyces","luteus","Capturomyces luteus"
"OTU.110","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","cynaroidis","Diaporthe cynaroidis"
"OTU.64","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales",NA,NA,NA,"Phaeomoniellales sp."
"OTU.62","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota sp."
"OTU.88","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium",NA,"Purpureocillium sp."
"OTU.91","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota sp."
"OTU.105","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hemiphacidiaceae","Rhabdocline",NA,"Rhabdocline sp."
"OTU.21","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota sp."
"OTU.124","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,"Dothideomycetes sp."
"OTU.87","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Pezicula",NA,"Pezicula sp."
"OTU.114","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","spinulosum","Penicillium spinulosum"
"OTU.44","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella",NA,"Mycosphaerella sp."
"OTU.37","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","cladosporioides","Cladosporium cladosporioides"
"OTU.89","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hemiphacidiaceae","Rhabdocline","parkeri","Rhabdocline parkeri"
"OTU.119","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae",NA,NA,"Phaeomoniellaceae sp."
"OTU.190","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Piskurozyma",NA,"Piskurozyma sp."
"OTU.141","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","Xenocylindrosporium","kirstenboschense","Xenocylindrosporium kirstenboschense"
"OTU.155","Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA,"Leotiomycetes sp."
"OTU.161","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tympanis",NA,"Tympanis sp."
"OTU.35","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Arachnopeziza",NA,"Arachnopeziza sp."
"OTU.133","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyphodiscus",NA,"Hyphodiscus sp."
"OTU.100","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Perusta","inaequalis","Perusta inaequalis"
"OTU.198","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae",NA,NA,"Venturiaceae sp."
"OTU.125","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Phaeotheca",NA,"Phaeotheca sp."
"OTU.199","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","nothofagi","Diaporthe nothofagi"
"OTU.160","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium","pini","Ramichloridium pini"
"OTU.367","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","cynaroidis","Diaporthe cynaroidis"
"OTU.66","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturia",NA,"Venturia sp."
"OTU.201","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","fujikuroi","Gibberella fujikuroi"
"OTU.28","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","macrosporum","Hormonema macrosporum"
"OTU.238","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae",NA,NA,"Rhytismataceae sp."
"OTU.194","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hemiphacidiaceae","Rhabdocline","parkeri","Rhabdocline parkeri"
"OTU.193","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcosomataceae","Pseudoplectania","episphagnum","Pseudoplectania episphagnum"
"OTU.376","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hemiphacidiaceae","Rhabdocline","parkeri","Rhabdocline parkeri"
"OTU.159","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"Helotiales sp."
"OTU.262","Fungi","Ascomycota","Leotiomycetes","Rhytismatales",NA,NA,NA,"Rhytismatales sp."
"OTU.230","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota sp."
"OTU.96","Fungi",NA,NA,NA,NA,NA,NA,"Fungi sp."
"OTU.29","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,"Capnodiales sp."
"OTU.209","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyphodiscus",NA,"Hyphodiscus sp."
"OTU.72","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Arachnopeziza",NA,"Arachnopeziza sp."
"OTU.227","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"Helotiales sp."
"OTU.168","Fungi",NA,NA,NA,NA,NA,NA,"Fungi sp."
"OTU.315","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus",NA,"Coprinellus sp."
"OTU.336","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina","rehmii","Wilcoxina rehmii"
